  5     5  VCS  7001 SEM     1  SM: VET CLIN SCIENCE   1.0  TBA                                                      MITCHELL C
  8     2  VCS  7003         1  SPEC TOP VET CLIN SC   1-4  TBA                                                      MITCHELL M
  8     2  VCS  7003         2  SPEC TOP VET CLIN SC   1-4  TBA                                                      SONES J
  8     2  VCS  7205         1  ADV VET CLIN NEUROLO   2.0  TBA                                                      EADES S
  9     1  VCS  7209         1  ADV VET RESPIR DIS     2.0  TBA                                                      WILLIAMS P
  7     1  VCS  7210         2  VET SCI JOURNAL REV    1.0  TBA                                                      CREMER J
  9     1  VCS  7210         3  VET SCI JOURNAL REV    1.0  TBA                                                      MCCONNICO R
  5     3  VCS  7210         4  VET SCI JOURNAL REV    1.0  TBA                                                      LOPEZ M
  6     2  VCS  7210         5  VET SCI JOURNAL REV    1.0  TBA                                                      MITCHELL M
